"Dis No","Year","Seq","Glide","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","Disaster Subsubtype","Event Name","Country","ISO","Region","Continent","Location","Origin","Associated Dis","Associated Dis2","OFDA Response","Appeal","Declaration","AID Contribution (000 US$)","Dis Mag Value","Dis Mag Scale","Latitude","Longitude","Local Time","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No Injured","No Affected","No Homeless","Total Affected","Reconstruction Costs ('000 US$)","Reconstruction Costs, Adjusted ('000 US$)","Insured Damages ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages ('000 US$)","Total Damages, Adjusted ('000 US$)","CPI","Adm Level","Admin1 Code","Admin2 Code","Geo Locations"
"2013-0077-BRA","2013","0077","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province) Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)","Torrential rains","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2013","3","17","2013","3","18","30","44","1466","","1510","1510","1897","","","1500","1884","79.601309423345","2","","9895;9919;9934;9941;9948","Angra Dos Reis, Duque De Caxias, Mangaratiba, Niteroi, Petropolis (Adm2). "
"2013-0521-BRA","2013","0521","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","","","","","2013","12","12","2013","12","12","2","","2000","","2000","","","","","","","79.601309423345","2","","9903;9919;9940;9943;9954;9961;9968","Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2). "
"2013-0552-BRA","2013","0552","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Espirito Santo, Minas Gerais provinces","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","-18.9538","-41.94","","","2013","12","17","2014","1","4","64","100","","43200","43300","","","","","540000","678381","79.601309423345","1","672;677","","Espirito Santo, Minas Gerais (Adm1). "
"2013-0519-BRA","2013","0519","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Lajedinho district (Bahia province)","Violent thunderstorms","","","","","","","","Km2","","","","","2013","12","7","2013","12","10","19","","600","","600","","","","","2000","2513","79.601309423345","2","","6757","Lajedinho (Adm2). "
"2013-0408-BRA","2013","0408","","Natural","Meteorological","Storm","Convective storm","","","Brazil","BRA","South America","Americas","Taquarituba town (Taquarituba district, Sao Paulo province), Santa Catarina province","","","","","","","","","Kph","","","","","2013","9","21","2013","9","22","2","64","13800","","13864","","","","","90000","113063","79.601309423345","1;2","688","11580","Santa Catarina (Adm1). Taquarituba (Adm2). "
"2013-0180-BRA","2013","0180","","Technological","Technological","Transport accident","Water","","","Brazil","BRA","South America","Americas","Marajo Island (Amazonia)","","","","","No","No","","","","","","","","2013","4","19","2013","4","19","27","","41","","41","","","","","","","79.601309423345","","","",""
"2013-0050-BRA","2013","0050","","Technological","Technological","Miscellaneous accident","Fire","","Nightclub","Brazil","BRA","South America","Americas","Santa Maria (Rio Grande do Sul state)","","","","","No","No","","","","","","","","2013","1","26","2013","1","27","235","100","","","100","","","","","5000","6281","79.601309423345","","","",""
"2014-0002-BRA","2014","0002","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Itaoca, Apiai districts (Sao Paulo province)","Torrential rains","","","","","","","","Km2","","","","Palmital","2014","1","12","2014","1","13","20","","600","","600","","","","","","","80.892623722203","2","","11008;11234","Apiai, Itaoca (Adm2). "
"2014-0245-BRA","2014","0245","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Rio Grande do Sul","Heavy rains","","","","","","","","Km2","","","","Uruguay river","2014","7","3","2014","7","14","10","","50000","","50000","","","","","","","80.892623722203","1","685","","Rio Grande Do Sul (Adm1). "
"2014-0103-BRA","2014","0103","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rondonia, Acre provinces","Persistent rainfall","","","","","","","","Km2","","","","Madeira","2014","2","15","2014","3","","","","","67500","67500","","","","","200000","247241","80.892623722203","1","665;686","","Acre, Rondonia (Adm1). "
"2014-0188-BRA","2014","0188","FL-2014-000007","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Parana and Santa Catarina states","Heavy Rains","","","","","","","","Km2","","","","","2014","6","7","2014","6","30","11","52","500000","","500052","","","","","","","80.892623722203","1","680;688","","Parana, Santa Catarina (Adm1). "
"2014-0189-BRA","2014","0189","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","CanindÃ© (Ceara state)","Lost control of vehicule","","","","No","No","","","","","","","","2014","5","18","2014","5","18","20","17","","","17","","","","","","","80.892623722203","","","",""
"2014-0427-BRA","2014","0427","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Sao Paulo","","","","","No","No","","","","","","","","2014","10","28","2014","10","28","10","31","","","31","","","","","","","80.892623722203","","","",""
"2014-0328-BRA","2014","0328","","Technological","Technological","Transport accident","Water","","Boat 'Sueno del Pantanal'","Brazil","BRA","South America","Americas","Near Porto Murtinho","","","","","No","No","","","","","","","","2014","9","30","2014","9","30","11","","13","","13","","","","","","","80.892623722203","","","",""
"2014-9025-BRA","2014","9025","","Natural","Climatological","Drought","Drought","","","Brazil","BRA","South America","Americas","Alagoas, Bahia, Ceara, Maranhao, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte, Sergipe provinces","Lack of rain 2012 and 2013, high temperatures","","","","","","","","Km2","","","","","2014","1","","2016","12","","","","27000000","","27000000","","","","","5000000","6181033","80.892623722203","1","666;669;670;674;679;681;682;684;690","","Alagoas, Bahia, Ceara, Maranhao, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte, Sergipe (Adm1). "
"2014-0363-BRA","2014","0363","","Technological","Technological","Miscellaneous accident","Fire","","Favelas","Brazil","BRA","South America","Americas","Sao Paulo","","","","","No","No","","","","","","","","2014","10","2","2014","10","2","1","","","600","600","","","","","","","80.892623722203","","","",""
"2014-0557-BRA","2014","0557","","Technological","Technological","Miscellaneous accident","Fire","","Shanty town","Brazil","BRA","South America","Americas","Sao Paulo","","","","","No","No","","","","","","","","2014","9","8","2014","9","8","","","","2000","2000","","","","","","","80.892623722203","","","",""
"2015-0486-BRA","2015","0486","","Technological","Technological","Industrial accident","Collapse","","Dam - Samarco","Brazil","BRA","South America","Americas","Bento Rodrigues, Paracatu de Baixo, Gesteira (Mariana), Minas Gerais","","Slide (land, mud, snow, rock)","","","","","","40000000","m3","","","","Rio Doce","2015","11","5","2015","11","5","24","13","","637","650","","","","","","","80.988578990591","","","",""
"2015-0285-BRA","2015","0285","FL-2015-000092","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Parana, Santa Catarina provinces, Rio Grande do Sul province ","","Storm","","","","Yes","","115","Km2","-25.5689","-50.75","","Uruguay river","2015","7","10","2015","7","21","3","","283140","","283140","","","","","","","80.988578990591","1","680;685;688","","Parana, Rio Grande Do Sul, Santa Catarina (Adm1). "
"2015-0156-BRA","2015","0156","","Natural","Meteorological","Storm","Convective storm","Lightning/Thunderstorms","","Brazil","BRA","South America","Americas","Xanxere (Santa Catarina)","","","","","","","","320","Kph","","","","","2015","4","20","2015","4","20","2","97","10940","","11037","","","","","2000","2469","80.988578990591","2","","10975","Xanxere (Adm2). "
"2015-0489-BRA","2015","0489","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Santa Catarina, Rio Grande do Sul provinces","El Nino","","","","","Yes","","","Km2","","","","Guaiba, Itajai do Sul rivers","2015","10","8","2015","10","20","3","","5370","","5370","","","","","2000","2469","80.988578990591","1","685;688","","Rio Grande Do Sul, Santa Catarina (Adm1). "
"2015-0551-BRA","2015","0551","FL-2015-000171; FL-2016-000003","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio Grande do Sul province","El Nino","","","","","","","","Km2","","","","Uruguay, Quarai rivers","2015","12","20","2015","12","26","","","9000","","9000","","","","","","","80.988578990591","1","685","","Rio Grande Do Sul (Adm1). "
"2015-0157-BRA","2015","0157","","Natural","Hydrological","Landslide","Landslide","","","Brazil","BRA","South America","Americas","Salvador city (Salvador district, Bahia state) ","Rainfall","","","","","","","","","","","","","2015","4","27","2015","4","27","15","","","","","","","","","","","80.988578990591","2","","6865","Salvador (Adm2). "
"2015-0095-BRA","2015","0095","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Sierra Dona Francisca (Santa Catarina)","","","","","No","No","","","","","","","","2015","3","14","2015","3","14","54","","","","","","","","","","","80.988578990591","","","",""
"2015-0423-BRA","2015","0423","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Paraty","","","","","No","No","","","","","","","","2015","9","6","2015","9","6","15","50","","","50","","","","","","","80.988578990591","","","",""
"2015-0007-BRA","2015","0007","","Technological","Technological","Transport accident","Rail","","","Brazil","BRA","South America","Americas","Mesquita (Rio de Janeiro state)","","","","","","","","","","","","","","2015","1","6","2015","1","6","","158","","","158","","","","","","","80.988578990591","","","",""
"2015-0208-BRA","2015","0208","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Amazonas state; Boca do Acre (Punus region)","Heavy rains","","","","No","No","","450353","Km2","-6.97805","-67.8","","","2015","4","1","2015","5","2","5","","1000","","1000","","","","","","","80.988578990591","2","","6484","Boca Do Acre (Adm2). "
"2016-0077-BRA","2016","0077","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province","Torrential arins","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","Pinheiros","2016","3","10","2016","3","11","30","","","","","","","","","100000","121936","82.010330903136","1;2","683","11082;11167;11193;11238;11301","Rio De Janeiro (Adm1). Cajamar, Francisco Morato, Guarulhos, Itapevi, Mairipora (Adm2). "
"2016-0214-BRA","2016","0214","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Sao Paulo State","","","","","","","","","","","","","","2016","6","9","2016","6","9","18","31","","","31","","","","","","","82.010330903136","","","",""
"2016-0033-BRA","2016","0033","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)","El Nino","","","","","Yes","","110515","Km2","-17.956","-56.442","","","2016","1","9","2016","1","15","3","","50500","","50500","","","","","100000","121936","82.010330903136","1;2","689","7676;7697;7717;7741;9107;9281;9401","Sao Paulo (Adm1). Aquidauana, Arapongas, Dois Irmaos Do Buriti, Londrina, Miranda, Rolandia, Taquarussu (Adm2). "
"2016-0518-BRA","2016","0518","","Natural","Biological","Epidemic","Viral disease","","Yellow fever","Brazil","BRA","South America","Americas","Ribeirão Preto (Jaboticabal, Monte Alto, Ribeirão Preto); Barretos (Cajobi and Severínea); São José do Rio Preto (Pindorama, Potirendaba, Catanduva, Ibira, Adolfo, Catiguá, and São José do Rio Preto) - Sao Paulo; Minas Gerais,; Espirito Santo; Brasilia, Goias, Mato Grosso do Sul; Tocantins; Bahia, Rio Grande do Norte","","","","","","Yes","","","Vaccinated","","","","","2016","12","18","2017","4","1","261","777","","","777","","","","","","","82.010330903136","","","",""
"2017-0202-BRA","2017","0202","FL-2017-000067","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Pernambuco (Caruaru, Ipojuca, Joaquim Nabuco, Jurema, Lagoa dos Gatos, Primavera, Quipapá, Sirinhaém, Tamandaré, Xexéu, Belém de Maria, Gameleira, Palmares, Amaraji, Maraial, Ribeirão, Cortês, Barra de Guabiraba, São Benedito do Sul, Rio Formoso, Catende, Água Preta, Jaqueira, Barreiros), Alagoas (Metropolitan Region, Paraiba Valley, Mundau Valley, North Coast, Grota de Santo Amaro, Callejón de la Anastácia, Riacho Velho, Carrasco, Piedras, Malhadas, Barra Nova, Playa Francés, Sitio Auxiliadora, Macéio, Atalaia, São Luis do Quitunde, Satuba, União dos Palmares, Capela, Chã Preta, Colônia Leopoldina, Jacuípe, Jundiá, Marechal Deodoro, Paulo Jacinto, Pilar, Quebrangulo, Rio Largo, Santa Luzia do Norte, Santana do Mundaú, São José da Laje, Branquinha, Cajueiro, Palmeira dos índios, Pedoca)","Heavy Rainfall","Slide (land, mud, snow, rock)","","","","Yes","","266010","Km2","-8.096","-38.231","","","2017","5","26","2017","6","10","14","","104140","","104140","","","","","100000","119393","83.757254551963","2","","6358;6365;6367;6372;6374;6376;6389;6392;6395;6396;6400;6405;6412;6420;6425;6428;6435;6436;6438;6440;6442;6444;6448;6454;6455;9493;9498;9503;9504;9505;9533;9535;9541;9546;9554;9567;9577;9581;9584;9588;9595;9604;9618;9619;9623;9624;9637;9642;9650;9656;9673","Agua Preta, Amaraji, Atalaia, Barra De Guabiraba, Barreiros, Belem De Maria, Branquinha, Cajueiro, Capela, Caruaru, Catende, Cha Preta, Colonia Leopoldina, Cortes, Escada, Gameleira, Igreja Nova, Ipojuca, Jacuipe, Jaqueira, Joaquim Gomes, Joaquim Nabuco, Jundia, Jurema, Lagoa Dos Gatos, Maceio, Maraial, Marechal Deodoro, Murici, Palmares, Palmeira Dos Indios, Paulo Jacinto, Pilar, Primavera, Quebrangulo, Quipapa, Ribeirao, Rio Formoso, Rio Largo, Santa Luzia Do Norte, Santana Do Mundau, Sao Benedito Do Sul, Sao Jose Da Coroa Grande, Sao Jose Da Laje, Sao Luis Do Quitunde, Satuba, Sirinhaem, Tamandare, Uniao Dos Palmares, Vicosa, Xexeu (Adm2). "
"2017-0551-BRA","2017","0551","","Natural","Biological","Epidemic","Viral disease","","Yellow fever","Brazil","BRA","South America","Americas","Rio de Janeiro, São Paulo, Minas Gerais","","","","","","","","","Vaccinated","","","","","2017","7","1","2018","2","16","154","310","","","310","","","","","","","83.757254551963","","","",""
"2017-0175-BRA","2017","0175","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Piaui, Road BR-135, 786 km south of Teresina","","","","","","","","","","","","","","2017","6","17","2017","6","17","10","","","","","","","","","","","83.757254551963","","","",""
"2017-0194-BRA","2017","0194","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Salinas (Minas Gerais)","","","","","","","","","","","","","","2017","6","19","2017","6","19","10","","","","","","","","","","","83.757254551963","","","",""
"2017-0354-BRA","2017","0354","","Technological","Technological","Transport accident","Water","","Ferry","Brazil","BRA","South America","Americas","Para ","","","","","","","","","","","","","","2017","8","22","2017","8","22","26","","","","","","","","","","","83.757254551963","","","",""
"2017-0575-BRA","2017","0575","","Technological","Technological","Transport accident","Water","","Ferry","Brazil","BRA","South America","Americas","Salvador","","","","","","","","","","","","","","2017","8","24","2017","8","24","21","","","","","","","","","","","83.757254551963","","","",""
"2017-0574-BRA","2017","0574","","Technological","Technological","Transport accident","Water","","","Brazil","BRA","South America","Americas","Bahia","","","","","","","","","","","","","","2018","8","24","2018","8","24","22","","","","","","","","","","","83.757254551963","","","",""
"2018-0040-BRA","2018","0040","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Rio de Janeiro","Heavy rains","Collapse","Flood","","","","","55139","Km2","-22.479","-44.095","","","2018","2","14","2018","2","16","4","","250","","250","","","","","10000","11655","85.803026057265","2","","9961","Rio De Janeiro (Adm2). "
"2018-0155-BRA","2018","0155","","Technological","Technological","Miscellaneous accident","Collapse","","Building","Brazil","BRA","South America","Americas","Sao Paulo","","Fire","","","","","","","","","","","","2018","5","2","2018","5","2","49","","","","","","","","","","","85.803026057265","","","",""
"2018-0415-BRA","2018","0415","","Natural","Hydrological","Landslide","Landslide","","","Brazil","BRA","South America","Americas","Niteroi, near Rio de Janeiro","Heavy rains","","","","","","","","","","","","","2018","11","10","2018","11","10","15","","","300","300","","","","","","","85.803026057265","2","","9941","Niteroi (Adm2). "
"2018-0009-BRA","2018","0009","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Grao Mogol (Minas Gerais state)","","","","","","","","","","","","","","2018","1","13","2018","1","13","13","39","","","39","","","","","","","85.803026057265","","","",""
"2018-0449-BRA","2018","0449","","Technological","Technological","Miscellaneous accident","Fire","","","Brazil","BRA","South America","Americas","Manaus (Amazonia state)","","","","","","","","","","","","","","2018","12","17","2018","12","18","","17","2500","","2517","","","","","","","85.803026057265","","","",""
"2018-0112-BRA","2018","0112","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Sao Paulo","Torrential Rain","","","","","","","131278","Km2","-24.206","-48.623","","","2018","3","20","2018","3","21","3","","1000","","1000","","","","","43000","50115","85.803026057265","1","689","","Sao Paulo (Adm1). "
"2019-0026-BRA","2019","0026","","Technological","Technological","Industrial accident","Collapse","","Dam","Brazil","BRA","South America","Americas","Brumadinho","","Slide (land, mud, snow, rock)","","","","","","","m3","","","","","2019","1","25","2019","1","25","334","","","","","","","","","","","87.358006773885","","","",""
"2019-0100-BRA","2019","0100","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","São Paulo, São Bernardo do Campo, Ribeirão Pires, Suzano (Sao Paulo)","Torrential rains","Slide (land, mud, snow, rock)","","","","","","20310","Km2","-23.539","-46.124","","","2019","3","10","2019","3","11","12","6","1300","","1306","","","","","","","87.358006773885","2","","11467;11525;11543;11566","Ribeirao Pires, Sao Bernardo Do Campo, Sao Paulo, Suzano (Adm2). "
"2019-0146-BRA","2019","0146","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Rio de Janeiro, Maranhao, Piaui, Sao Paulo states","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","","","","","2019","4","8","2019","4","9","10","","4500","","4500","","","","","","","87.358006773885","1","674;682;683;689","","Maranhao, Piaui, Rio De Janeiro, Sao Paulo (Adm1). "
"2019-0008-BRA","2019","0008","FL-2019-000009","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Alegrete, Santana da Boa Vista, Quaraí , Bagé and Lavras do Sul Municipalities municipalities (Rio Grande do Sul State)","","Storm","","","","Yes","","","Km2","","","","","2019","1","11","2019","1","11","4","","10000","","10000","","","","","","","87.358006773885","1","685","","Rio Grande Do Sul (Adm1). "
"2019-0309-BRA","2019","0309","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Pernambuco state","Heavy rains","","","","","","","","Km2","","","","","2019","6","13","2019","6","13","7","","30000","","30000","","","","","","","87.358006773885","1","681","","Pernambuco (Adm1). "
"2019-0234-BRA","2019","0234","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Campos de Jordao","","","","","","","","","","","","","","2019","6","16","2019","6","16","17","","","","","","","","","","","87.358006773885","","","",""
"2019-0157-BRA","2019","0157","","Technological","Technological","Miscellaneous accident","Collapse","","Buildings","Brazil","BRA","South America","Americas","Rio de Janeiro","","","","","","","","","","","","","","2019","4","12","2019","4","18","24","10","","","10","","","","","","","87.358006773885","","","",""
"2019-0051-BRA","2019","0051","","Technological","Technological","Miscellaneous accident","Fire","","Football training center Flamengo","Brazil","BRA","South America","Americas","Rio de Janeiro","","","","","","","","","","","","","","2019","2","8","2019","2","8","10","3","","","3","","","","","","","87.358006773885","","","",""
"2019-0368-BRA","2019","0368","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Metropolitan Region of Recife","","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2019","7","23","2019","7","24","12","","","","","","","","","","","87.358006773885","2","","9489;9500;9519;9525;9557;9563;9567;9571;9574;9576;9598;9600;9611;9621;9645","Abreu E Lima, Aracoiaba, Cabo De Santo Agostinho, Camaragibe, Goiana, Igarassu, Ipojuca, Itamaraca, Itapissuma, Jaboatao Dos Guararapes, Moreno, Olinda, Paulista, Recife, Sao Lourenco Da Mata (Adm2). "
"2019-0542-BRA","2019","0542","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Alegre, Vitória, Vila Velha, Cariacica, Viana municipalities (Espirito Santo State)","","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2019","11","16","2019","11","17","2","12","660","","672","","","","","","","87.358006773885","2","","7135;7148;7204;7207;7208","Alegre, Cariacica, Viana, Vila Velha, Vitoria (Adm2). "
"2019-0580-BRA","2019","0580","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Salvador de Bahia City (Bahia State, north-eastern Brazil)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","173355","Km2","-39.27","-12.906","","","2019","11","25","2019","11","27","","","300","","300","","","","","","","87.358006773885","2","","6865","Salvador (Adm2). "
"2019-0428-BRA","2019","0428","","Natural","Climatological","Wildfire","Forest fire","","","Brazil","BRA","South America","Americas","Northwestern, Legal Amazon Area","","","","Yes","","","","","Km2","","","","","2019","1","","2019","8","","","2195","10000000","","10002195","","","","","","","87.358006773885","","","",""
"2019-0507-BRA","2019","0507","","Technological","Technological","Miscellaneous accident","Collapse","","Building","Brazil","BRA","South America","Americas","Fortaleza","","","","","","","","","","","","","","2019","10","15","2019","10","15","11","7","","","7","","","","","","","87.358006773885","","","",""
"2019-0440-BRA","2019","0440","","Technological","Technological","Miscellaneous accident","Fire","","Hospital","Brazil","BRA","South America","Americas","Rio","","","","","","","","","","","","","","2019","9","12","2019","9","12","11","77","","","77","","","","","","","87.358006773885","","","",""
"2020-0270-BRA","2020","0270","","Natural","Meteorological","Storm","Convective storm","","","Brazil","BRA","South America","Americas","Santa Catarina state; Iraí, Cacique Doble, Barracão, Vacaria and Capão Bonito do Sul (Rio Grande do Sul State); Parana","","Flood","Slide (land, mud, snow, rock)","","","Yes","","100","Kph","","","","","2020","6","30","2020","7","1","12","","1119","","1119","","","","","100000","113077","88.435640805934","1","680;685;688","","Parana, Rio Grande Do Sul, Santa Catarina (Adm1). "
"2020-0022-BRA","2020","0022","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Alfredo Chaves, Iconha Municipalities (Espirito Santo State); Minas Gerais state; Rio de Janeiro","Heavy rains","Slide (land, mud, snow, rock)","Storm","","","Yes","","115220","Km2","-19.398","-45.901","","","2020","1","17","2020","1","27","61","12","11000","","11012","","","","","300000","339230","88.435640805934","1;2","677;683","7136;7163","Minas Gerais, Rio De Janeiro (Adm1). Alfredo Chaves, Iconha (Adm2). "
"2020-0056-BRA","2020","0056","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Marilia, Botucatu, Laranjal Paulista,Taboao da Serra (Sao Paulo State)","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","","","","","2020","2","9","2020","2","11","5","","658","","658","","","","","50000","56538","88.435640805934","2","","11279;11307;11569","Laranjal Paulista, Marilia, Taboao Da Serra (Adm2). "
"2020-0077-BRA","2020","0077","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas"," Rio de Janeiro State","Heavy rains","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2020","2","29","2020","3","2","4","2","150","","152","","","","","","","88.435640805934","1","683","","Rio De Janeiro (Adm1). "
"2020-0083-BRA","2020","0083","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Guaruja , Santos, Sao Vicente (Baixada Santista Regions, Sao Paulo state)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2020","3","2","2020","3","3","60","","","5000","5000","","","","","75000","84807","88.435640805934","2","","11192;11523;11550","Guaruja, Santos, Sao Vicente (Adm2). "
"2020-0560-BRA","2020","0560","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Vale do Itajai region (Santa Caterina State)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2020","12","17","2020","12","21","21","","339","","339","","","","","75000","84807","88.435640805934","2","","10811","Itajai (Adm2). "
"2020-0511-BRA","2020","0511","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Taguai (Sao Paulo state)","","","","","","","","","","","","","","2020","11","25","2020","11","25","37","15","","","15","","","","","","","88.435640805934","","","",""
"2020-0537-BRA","2020","0537","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Joao Monlevade (Minas Gerais state)","","","","","","","","","","","","","","2020","12","4","2020","12","4","14","26","","","26","","","","","","","88.435640805934","","","",""
"2020-0079-BRA","2020","0079","","Technological","Technological","Transport accident","Water","","Ferry 'Anna Karoline III'","Brazil","BRA","South America","Americas","Amapa state","","","","","","","","","","","","","","2020","2","29","2020","2","29","48","","46","","46","","","","","","","88.435640805934","","","",""
"2020-9582-BRA","2020","9582","","Natural","Climatological","Drought","Drought","","","Brazil","BRA","South America","Americas","Rio Grande Do Sul, Santa Catarina","","","","","","","","","Km2","","","","","2020","1","","2020","12","","","","","","","","","","","3000000","3392297","88.435640805934","1","685;688","","Rio Grande Do Sul, Santa Catarina (Adm1). "
"2021-0332-BRA","2021","0332","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Santa Catarina State","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","","","","","2021","6","8","2021","6","9","2","","2400","","2400","","","","","13000","14040","92.590192930993","1","688","","Santa Catarina (Adm1). "
"2021-0040-BRA","2021","0040","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Florianópolis City (Santa Caterina State)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","","Km2","","","","","2021","1","21","2021","1","24","2","2","105","","107","","","","","37000","39961","92.590192930993","2","","10773","Florianopolis (Adm2). "
"2021-0087-BRA","2021","0087","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Santa Maria de Itabira Municipality (central Minas Gerais state); Cruzeiro do Sul Municipality (Acre state)","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","","","","","2021","2","10","2021","2","22","6","","100000","","100000","","","","","36000","38881","92.590192930993","2","","6338;8547","Cruzeiro Do Sul, Santa Maria De Itabira (Adm2). "
"2021-0202-BRA","2021","0202","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Santa Catarina (southern Brazil) and Pará (northern Brazil)","","Storm","","","","Yes","","","Km2","","","","","2021","3","26","2021","3","26","1","3","240","","243","","","","","","","92.590192930993","1","678;688","","Para, Santa Catarina (Adm1). "
"2021-0054-BRA","2021","0054","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","San Catarina state","","","","","","","","","","","","","","2021","1","25","2021","1","25","19","33","","","33","","","","","","","92.590192930993","","","",""
"2021-9569-BRA","2021","9569","","Natural","Climatological","Drought","Drought","","","Brazil","BRA","South America","Americas","Paraná River region","","","","","","Yes","","","Km2","","","","","2021","1","","2021","12","","","","","","","","","","","3000000","3240084","92.590192930993","1","680","","Parana (Adm1). "
"2021-0142-BRA","2021","0142","","Natural","Hydrological","Flood","","","","Brazil","BRA","South America","Americas","Lagoa Vermelha Municipality (Rio Grande Do Sul State)","Heavy rains","","","","","Yes","","","Km2","","","","","2021","3","2","2021","3","3","","","129","","129","","","","","","","92.590192930993","2","","10365","Lagoa Vermelha (Adm2). "
